id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_pkb,jumlah_pendapatan,satuan,tahun
125,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,PKB POKOK,7103117651500,RUPIAH,2014
126,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,PKB DENDA,204809408000,RUPIAH,2014
127,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,PKB POKOK,2739528129000,RUPIAH,2014
128,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,PKB DENDA,88547349000,RUPIAH,2014
129,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II CINERE,PKB POKOK,1393622973000,RUPIAH,2014
130,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II CINERE,PKB DENDA,45313085750,RUPIAH,2014
131,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,PKB POKOK,988914679000,RUPIAH,2014
132,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,PKB DENDA,23252814600,RUPIAH,2014
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,PKB POKOK,636991978500,RUPIAH,2014
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,PKB DENDA,15343663000,RUPIAH,2014
135,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,PKB POKOK,144571531000,RUPIAH,2014
136,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,PKB DENDA,3820043000,RUPIAH,2014
137,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),PKB POKOK,4064624444500,RUPIAH,2015
138,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),PKB DENDA,163924796000,RUPIAH,2015
139,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,PKB POKOK,840226370500,RUPIAH,2015
140,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,PKB DENDA,39185376500,RUPIAH,2015
141,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,PKB POKOK,389758102000,RUPIAH,2015
142,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,PKB DENDA,21795056000,RUPIAH,2015
143,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,PKB POKOK,1033025571000,RUPIAH,2015
144,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,PKB DENDA,41670274000,RUPIAH,2015
145,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,PKB POKOK,1766272703000,RUPIAH,2015
146,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,PKB DENDA,60226455000,RUPIAH,2015
147,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,PKB POKOK,1357441642000,RUPIAH,2015
148,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,PKB DENDA,45530780500,RUPIAH,2015
149,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,PKB POKOK,891929399000,RUPIAH,2015
150,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,PKB DENDA,33934154300,RUPIAH,2015
151,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,PKB POKOK,597902990500,RUPIAH,2015
152,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,PKB DENDA,17152761000,RUPIAH,2015
153,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,PKB POKOK,598390634500,RUPIAH,2015
154,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,PKB DENDA,16948915000,RUPIAH,2015
155,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,PKB POKOK,695966552500,RUPIAH,2015
156,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,PKB DENDA,21783935000,RUPIAH,2015
157,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,PKB POKOK,1104164827500,RUPIAH,2015
158,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,PKB DENDA,42439336500,RUPIAH,2015
